age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
39.0,6,0,1,0,1,4,1,40.0,38,0
50.0,5,0,0,3,0,4,1,32.5,38,0
38.0,3,2,2,5,1,4,1,40.0,38,0
53.0,3,5,0,5,0,2,1,40.0,38,0
28.0,3,0,0,9,5,2,0,40.0,4,0
37.0,3,4,0,3,5,4,0,40.0,38,0
49.0,3,5,2,7,1,2,0,32.5,22,0
52.0,5,2,0,3,0,4,1,45.0,38,1
31.0,3,4,1,9,1,4,0,50.0,38,1
42.0,3,0,0,3,0,4,1,40.0,38,1
37.0,3,3,0,3,0,2,1,52.5,38,1
30.0,6,0,0,9,0,1,1,40.0,18,1
23.0,3,0,1,0,3,4,0,32.5,38,0
32.0,3,3,1,11,1,2,1,50.0,38,0
40.0,3,3,0,2,0,1,1,40.0,38,1
34.0,3,5,0,13,0,0,1,45.0,25,0
25.0,5,2,1,4,3,4,1,35.0,38,0
32.0,3,2,1,6,4,4,1,40.0,38,0
38.0,3,5,0,11,0,4,1,50.0,38,0
43.0,5,4,2,3,4,4,0,45.0,38,1
40.0,3,1,0,9,0,4,1,52.5,38,1
54.0,3,2,2,7,4,2,0,32.5,38,0
35.0,0,5,0,4,0,2,1,40.0,38,0
43.0,3,5,0,13,0,4,1,40.0,38,0
59.0,3,2,2,12,4,4,0,40.0,38,0
56.0,1,0,0,12,0,4,1,40.0,38,1
19.0,3,2,1,2,3,4,1,40.0,38,0
54.0,3,3,0,9,0,1,1,52.5,34,1
39.0,3,2,2,3,1,4,1,52.5,38,0
49.0,3,2,0,2,0,4,1,40.0,38,0
23.0,1,3,1,10,1,4,1,52.0,38,0
20.0,3,3,1,11,3,2,1,44.0,38,0
45.0,3,0,2,3,3,4,1,40.0,38,0
30.0,0,3,0,0,3,4,1,40.0,38,0
22.0,6,3,0,7,0,2,1,32.5,38,0
48.0,3,5,1,6,4,4,1,40.0,32,0
21.0,3,3,1,6,3,4,1,40.0,38,0
19.0,3,2,0,0,5,4,0,32.5,38,0
31.0,3,3,0,11,0,4,1,38.0,38,1
48.0,5,3,0,9,0,4,1,40.0,38,0
31.0,3,5,0,6,0,4,1,43.0,38,0
53.0,5,0,0,9,0,4,1,40.0,38,0
24.0,3,0,0,12,0,4,1,50.0,38,0
49.0,3,2,2,0,4,4,0,40.0,38,0
25.0,3,2,1,5,1,4,1,35.0,38,0
57.0,0,0,0,9,0,2,1,40.0,38,1
53.0,3,2,0,6,0,4,1,38.0,38,0
44.0,3,4,2,3,4,4,0,40.0,38,0
41.0,6,3,0,2,0,4,1,40.0,38,0
29.0,3,3,1,9,1,4,1,43.0,38,0
25.0,3,3,0,3,5,3,0,40.0,38,0
18.0,3,2,1,7,3,4,0,32.5,38,0
47.0,3,3,0,9,5,4,0,52.5,15,1
50.0,0,0,2,3,1,4,1,52.5,38,1
47.0,4,2,2,3,1,4,1,52.5,38,0
43.0,3,3,0,12,0,4,1,40.0,38,1
46.0,3,5,0,6,0,4,1,40.0,25,0
35.0,3,3,0,7,0,4,1,40.0,32,0
41.0,3,2,0,0,0,4,1,48.0,38,0
30.0,3,2,0,6,0,4,1,40.0,38,0
30.0,3,0,0,11,0,4,1,40.0,38,0
32.0,3,5,2,9,1,4,1,40.0,38,0
48.0,3,2,0,13,0,4,1,40.0,38,0
42.0,3,1,0,9,0,4,1,45.0,38,1
29.0,3,3,2,12,1,4,1,52.5,38,0
36.0,3,2,0,2,0,4,1,40.0,38,0
28.0,3,3,2,0,1,4,0,40.0,38,0
53.0,3,2,0,0,5,4,0,40.0,38,1
49.0,4,3,0,3,0,4,1,50.0,38,1
25.0,3,3,1,9,3,4,1,40.0,38,0
19.0,3,3,1,9,3,4,1,32.5,38,0
31.0,3,0,2,11,3,2,0,40.0,38,0
29.0,5,0,0,11,0,4,1,52.5,38,1
23.0,3,3,1,6,1,4,1,40.0,38,0
78.0,3,3,0,9,2,4,1,32.5,38,0
27.0,3,2,1,7,3,4,1,40.0,25,0
40.0,3,3,0,0,0,4,1,40.0,38,0
67.0,3,5,0,9,0,4,1,32.5,38,0
18.0,3,5,1,7,3,4,0,32.5,38,0
31.0,1,5,0,4,0,4,1,40.0,38,0
18.0,3,2,1,11,1,4,1,32.5,38,0
52.0,3,0,0,7,0,4,1,40.0,4,0
46.0,3,2,0,7,5,4,0,40.0,38,0
59.0,3,2,0,11,0,4,1,48.0,38,0
44.0,3,2,2,2,1,4,0,40.0,38,1
53.0,3,2,2,11,3,4,0,35.0,38,0
49.0,1,2,0,10,0,4,1,40.0,38,1
33.0,3,4,0,9,0,4,1,50.0,38,0
